م,اسم الطبق,الدولة,المكونات لـ 4 أفراد,مستوى السهولة,مستوى التكلفة,يحتوي على بروتين,التوافق مع الشريعة الإسلامية
1,كبسة لحم,السعودية,لحمة ضاني، أرز بسمتي، بهارات كبسة، طماطم، بصل,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
2,كبسة دجاج,السعودية,دجاج، أرز بسمتي، بهارات كبسة، طماطم,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
3,مطبق سمك,السعودية,سمك، أرز، بهارات، ليمون أسود,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
4,مضغوط دجاج,السعودية,دجاج، أرز، بهارات، حامض,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
5,جريش سعودي,السعودية,جريش (قمح مجروش)، لحمة، بصل، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
6,مرقوق لحم,السعودية,عجينة مرقوق، لحمة، خضار، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
7,مطازيز,السعودية,عجينة، لحمة، خضار، بهارات نجدية,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
8,سليق نجدي,السعودية,أرز، لحمة أو دجاج، لبن، ثوم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
9,مفطح,السعودية,خضار، لحمة، بهارات نجدية,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
10,قرصان,السعودية,خبز رقيق، مرقة لحمة، خضار,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
11,هريس (هريسة سعودية),السعودية,قمح، لحمة، سمن,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
12,مندي لحم,اليمن,لحمة ضاني، أرز، هيل، دخان تنور,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
13,مندي دجاج,اليمن,دجاج، أرز، بهارات مندي، دخان,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
14,مفتح دجاج,اليمن,دجاج، أرز، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
15,فحسة لحم,اليمن,لحمة ضاني، حلبة، بهارات يمنية,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
16,مطبق يمني (لحم),اليمن,عجينة، لحمة مفرومة، بصل، بيض,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
17,عصيد يمني,اليمن,دقيق، سمن، عسل، مرقة لحمة,متوسط,منخفض,نعم,حلال (بدون خمور أو خنزير)
18,زربيان لحم,اليمن,لحمة، أرز، بهارات، بصل مقرمش,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
19,سيح لحم,اليمن,لحمة، بصل، طماطم، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
20,لحوح مع اللحمة,اليمن,لحوح (خبز إسفنجي)، لحمة، مرقة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
21,مطبك يمني (بيض),اليمن,عجينة، بيض، بصل، طماطم,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
22,مرقة لحم عدنية,اليمن,لحمة ضاني، بهارات عدنية، طماطم,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
23,قشاط لحم,اليمن,أضلاع لحمة، أرز، بهارات,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
24,بيتشاي دجاج,اليمن,دجاج، أرز، هيل، ليمون أسود,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
25,مندي روبيان,اليمن,جمبري، أرز، هيل، دخان,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
26,مبخر لحم,اليمن,لحمة، أرز، بهارات مبخرة,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
27,مرشوش لحم,اليمن,عجينة رقيقة، لحمة مفرومة، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
28,عربوش يمني,اليمن,لحمة، بهارات يمنية، مرقة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
29,قبولي أفغاني-خليجي,اليمن,أرز، لحمة ضاني، جزر، زبيب,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
30,مطبق سبيح,اليمن,عجينة، لحمة مفرومة، بيض,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
31,مرقوق دجاج,الإمارات,عجينة، دجاج، خضار، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
32,قوزي لحم,الإمارات,لحمة ضاني، أرز، مكسرات، بيض مسلوق,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
33,خبيصة إماراتية باللحم,الإمارات,دقيق، سمن، عسل، لحمة (طبق مالح-حلو),متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
34,محشي إماراتي (كوسة),الإمارات,كوسة، أرز، لحمة مفرومة,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
35,سالونة لحم,الإمارات,لحمة، خضار، بهارات، مرقة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
