م,اسم الطبق,الدولة الأكثر ارتباطًا بالصنف,المكونات لـ 4 أفراد,مستوى السهولة,مستوى التكلفة,يحتوي على بروتين,التوافق مع الشريعة الإسلامية
1,كبة نية,لبنان,لحمة ضاني مفرومة ناعم، برغل ناعم، بصل، بهارات,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
2,كبة مقلية,سوريا,لحمة مفرومة، برغل، بصل، صنوبر، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
3,كبة لبنية,سوريا,كبة مقلية، لبن زبادي، ثوم، نعناع,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
4,فتوش,لبنان,خس، طماطم، خيار، خبز مقرمش، سماق، رمان,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
5,تبولة,لبنان,برغل ناعم، بقدونس، طماطم، ليمون، زيت زيتون,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
6,ورق عنب شامي,سوريا,ورق عنب، أرز، طماطم، بقدونس، زيت زيتون,صعب,متوسط,لا/اختياري,حلال (بدون خمور أو خنزير)
7,يبرق (ورق عنب باللحمة),سوريا,ورق عنب، أرز، لحمة مفرومة، طماطم,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
8,محشي كوسا شامي,سوريا,كوسة، أرز، لحمة مفرومة، لبن زبادي,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
9,شيخ المحشي,سوريا,كوسة، لحمة مفرومة، صنوبر، صلصة طماطم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
10,مقلوبة بالدجاج,فلسطين,دجاج، أرز، باذنجان أو زهرة، جزر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
11,مقلوبة باللحمة,فلسطين,لحمة مكعبات، أرز، باذنجان، صنوبر,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
12,مسخن (مسخّن دجاج),فلسطين,دجاج، خبز طابون، بصل، سماق، صنوبر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
13,مقلوبة القرنبيط,فلسطين,زهرة، أرز، دجاج أو لحمة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
14,منسف,الأردن,لحمة ضاني، جميد (لبن مجفف)، أرز، لوز، صنوبر,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
15,مفتول باللحمة,فلسطين,مفتول (مغربية)، لحمة، حمص، بصل,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
16,مجدرة شامية,لبنان,عدس بني، أرز أو برغل، بصل مقرمش,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
17,عدس بالحامض,لبنان,عدس، سلق، ليمون، ثوم,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
18,رقاق باللبن (لبنية),سوريا,لحمة مفرومة، رقائق خبز، لبن زبادي، ثوم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
