م,اسم الطبق,المكونات لـ 4 أفراد,مستوى السهولة,مستوى التكلفة,يحتوي على بروتين,التوافق مع الشريعة الإسلامية
1,كشري,أرز، عدس أسود، مكرونة، حمص، بصل مقرمش، صلصة طماطم، خل وثوم,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
2,فول مدمس,فول مدمس 500جم، زيت، ليمون، ثوم، كمون، طماطم وبصل للتقديم,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
3,طعمية بالخبز,فول أخضر مجروش 500جم، بصل، ثوم، كزبرة، بقدونس، خبز عيش,متوسط,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
4,رز بالخلطة,أرز 3 أكواب، لحمة مفرومة 250جم، بصل، بهارات مشكلة,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
5,رز معمر,أرز، لحمة مفرومة، بشاميل، جبنة موتزاريلا,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
6,شوربة عدس أصفر,عدس أصفر 500جم، جزر، بصل، ثوم، كمون,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
7,شوربة عدس أسود بالكمون,عدس أسود، بصل، ثوم، كمون، ليمون,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
8,شوربة فريكة بالدجاج,فريكة 2 كوب، صدور دجاج، مرقة دجاج، بصل,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
9,ملوخية بالدجاج,ملوخية مفرومة 1كجم، دجاج كامل، ثوم مقلي، كزبرة,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
10,ملوخية باللحمة,ملوخية 1كجم، لحمة مكعبات 500جم، ثوم، كزبرة,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
11,ملوخية بالأرانب,ملوخية 1كجم، أرنب مقطع، ثوم، كزبرة,صعب,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
12,بامية باللحمة,بامية 1كجم، لحمة مكعبات، طماطم، بصل، ثوم,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
13,بامية بالدجاج,بامية 1كجم، دجاج مقطع، طماطم، بصل,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
14,بازلاء باللحمة,بازلاء مجمدة 500جم، لحمة مكعبات، جزر، طماطم,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
15,فاصوليا بيضاء باللحمة,فاصوليا بيضاء 500جم، لحمة مكعبات، صلصة طماطم,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
16,فاصوليا خضراء باللحمة,فاصوليا خضراء 1كجم، لحمة مكعبات، طماطم، بصل,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
17,كوارع,كوارع بقري 1كجم، ثوم، كمون، ليمون,صعب,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
18,محشي كرنب,كرنب، أرز، بقدونس، طماطم، لحمة مفرومة اختياري,صعب,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
19,محشي ورق عنب,ورق عنب، أرز، طماطم، بقدونس، زيت,صعب,متوسط,نعم/اختياري,حلال (لا يحتوي على خمور أو خنزير)
20,محشي كوسة,كوسة، أرز، لحمة مفرومة، طماطم,صعب,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
21,محشي باذنجان,باذنجان، أرز، بقدونس، طماطم,صعب,متوسط,نعم/اختياري,حلال (لا يحتوي على خمور أو خنزير)
22,محشي فلفل,فلفل رومي، أرز، لحمة مفرومة، طماطم,صعب,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
23,مسقعة باللحمة المفرومة,باذنجان مقلي، لحمة مفرومة 400جم، صلصة طماطم,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
24,مسقعة بالبطاطس,بطاطس، باذنجان، صلصة طماطم، جبنة اختياري,متوسط,منخفض,لا/اختياري,حلال (لا يحتوي على خمور أو خنزير)
25,كفتة بالصينية,لحمة مفرومة 800جم، بصل، بقدونس، بطاطس,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
26,كفتة مشوية,لحمة مفرومة 800جم، بصل، بقدونس، بهارات,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
27,كباب مشوي,لحمة ضاني/بتلو 1كجم، بصل، بهارات,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
28,فراخ مشوية,دجاج كامل 1.5كجم، ليمون، ثوم، بهارات,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
29,فراخ بانيه,فيليه دجاج 800جم، بقسماط، بيض، دقيق,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
30,فراخ محشية,دجاج كامل، أرز، كبدة دجاج، مكسرات,صعب,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
31,فراخ بالفرن بالبطاطس,دجاج مقطع، بطاطس، ثوم، بهارات,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
32,بط مشوي محشي,بط كامل، أرز، مكسرات، بهارات,صعب,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
33,حمام محشي,حمام 4 حبات، فريك أو أرز، بصل، بهارات,صعب,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
34,سمك بلطي مشوي,بلطي 4 حبات، ليمون، ثوم، كمون,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
35,سمك فيليه بالفرن,فيليه بلطي/بشار 800جم، طماطم، بصل، ليمون,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
36,سمك سيوي مقلي,سيوي 800جم، دقيق، كمون، ثوم,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
37,جمبري بالثوم والزبدة,جمبري 700جم، زبدة، ثوم، ليمون,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
38,كاليماري مقلي,كاليماري 600جم، دقيق مبهر، ليمون,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
39,طاجن سمك بالطحينة,سمك مقطع، طحينة، ليمون، ثوم، بقدونس,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
40,طاجن لحمة بالبطاطس,لحمة مكعبات 600جم، بطاطس، طماطم، بصل,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
41,طاجن دجاج بالخضار,دجاج مقطع، كوسة، جزر، بطاطس، طماطم,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
42,روزبيف بالفرن,لحمة ضاني/بتلو كتلة 1كجم، ثوم، روزماري,صعب,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
43,كبدة اسكندراني,كبدة بقري 600جم، فلفل أخضر، ثوم، شطة,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
44,كبدة بالثوم,كبدة بقري 600جم، ثوم، كمون,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
45,ممبار محشي,ممبار بقري، أرز، بقدونس، بهارات,صعب,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
46,كباب حلة,لحمة مكعبات 700جم، بصل، طماطم، بهارات,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
